SGS Bonds and T-bills & CMTBs Auction Result Data

Issue Code,ISIN Code,Product Type,Term to Maturity at Auction,Auction Amount (S$M),Auction Date,Issue Date,Maturity Date,Amount Applied (S$M),Coupon Rate (%),Bid-to-Cover Ratio,Cut-off Yield (%),Cut-off Price,Median Yield (%),Median Price,Average Yield (%),Average Price
BS22121F,SGXZ27657782,T-bills,182,4600,27/10/2022,01/11/2022,02/05/2023,10940.1,N/A,2.38,4.19,97.911,3.90,98.055,3.44,98.285
BS22122Z,SGXZ52032836,T-bills,182,4500,10/11/2022,15/11/2022,16/05/2023,14243.5,N/A,3.17,4.00,98.005,3.50,98.255,2.87,98.569
BS22123S,SGXZ30631881,T-bills,182,4800,24/11/2022,29/11/2022,30/05/2023,11894.1,N/A,2.48,3.90,98.055,3.50,98.255,3.26,98.374
BS22124H,SGXZ39766688,T-bills,182,4600,08/12/2022,13/12/2022,13/06/2023,9339.2,N/A,2.03,4.40,97.806,3.85,98.080,3.73,98.140
BS22125T,SGXZ52423183,T-bills,182,4400,21/12/2022,27/12/2022,27/06/2023,11806.7,N/A,2.68,4.28,97.866,4.00,98.005,3.76,98.125
BS23100Z,SGXZ18842542,T-bills,182,4700,05/01/2023,10/01/2023,11/07/2023,12038.4,N/A,2.56,4.20,97.906,4.00,98.005,3.77,98.120
BS23101S,SGXZ70079470,T-bills,181,5000,18/01/2023,25/01/2023,25/07/2023,13063.2,N/A,2.61,4.00,98.016,3.90,98.066,2.71,98.656
BS23102H,SGXZ29241676,T-bills,182,4900,02/02/2023,07/02/2023,08/08/2023,12879.5,N/A,2.63,3.88,98.065,3.77,98.120,3.27,98.369
BS23103T,SGXZ17686775,T-bills,182,4900,16/02/2023,21/02/2023,22/08/2023,11016.3,N/A,2.25,3.93,98.040,3.70,98.155,3.26,98.374
BS23104X,SGXZ59560854,T-bills,182,4700,02/03/2023,07/03/2023,05/09/2023,13028.8,N/A,2.77,3.98,98.015,3.88,98.065,3.58,98.215
BS23105W,SGXZ98140148,T-bills,182,4600,16/03/2023,21/03/2023,19/09/2023,12747.5,N/A,2.77,3.65,98.180,3.58,98.215,3.41,98.300
BS23106N,SGXZ31942782,T-bills,182,4300,30/03/2023,04/04/2023,03/10/2023,9572.8,N/A,2.23,3.85,98.080,3.65,98.180,3.43,98.290
BS23107V,SGXZ38306411,T-bills,182,4800,13/04/2023,18/04/2023,17/10/2023,12265.3,N/A,2.56,3.75,98.130,3.65,98.180,3.31,98.350
BS23108A,SGXZ84803105,T-bills,182,5000,26/04/2023,02/05/2023,31/10/2023,11112.2,N/A,2.22,3.83,98.090,3.70,98.155,3.44,98.285
BS23109E,SGXZ74045766,T-bills,182,5000,11/05/2023,16/05/2023,14/11/2023,11951.9,N/A,2.39,3.78,98.115,3.60,98.205,3.26,98.374
BS23110X,SGXZ89109110,T-bills,182,5300,25/05/2023,30/05/2023,28/11/2023,12181.3,N/A,2.30,3.85,98.080,3.60,98.205,3.15,98.429
BS23111W,SGXZ38592606,T-bills,182,5200,08/06/2023,13/06/2023,12/12/2023,11514.7,N/A,2.21,3.84,98.085,3.68,98.165,3.36,98.325
BS23112N,SGXZ18316448,T-bills,182,5000,22/06/2023,27/06/2023,26/12/2023,9881.7,N/A,1.98,3.89,98.060,3.60,98.205,3.07,98.469
BS23113V,SGXZ14619167,T-bills,182,5400,06/07/2023,11/07/2023,09/01/2024,10303.3,N/A,1.91,3.99,98.010,3.50,98.255,2.87,98.569
BS23114A,SGXZ42332148,T-bills,182,5600,20/07/2023,25/07/2023,23/01/2024,12220.2,N/A,2.18,3.85,98.080,3.65,98.180,2.88,98.564
BS23115E,SGXZ68145226,T-bills,182,5500,03/08/2023,08/08/2023,06/02/2024,12297.7,N/A,2.24,3.75,98.130,3.64,98.185,3.17,98.419
BS23116F,SGXZ84200740,T-bills,182,5600,17/08/2023,22/08/2023,20/02/2024,11818.5,N/A,2.11,3.73,98.140,3.63,98.190,2.86,98.574
BS23117Z,SGXZ87559985,T-bills,182,5500,31/08/2023,05/09/2023,05/03/2024,11227.4,N/A,2.04,3.70,98.155,3.57,98.220,2.95,98.529
BS23118S,SGXZ22996011,T-bills,182,5500,14/09/2023,19/09/2023,19/03/2024,11168.2,N/A,2.03,3.73,98.140,3.58,98.215,3.05,98.479
BS23119H,SGXZ95449054,T-bills,182,5300,28/09/2023,03/10/2023,02/04/2024,9301.8,N/A,1.76,4.07,97.971,3.62,98.195,3.51,98.250
BS23120A,SGXZ17695602,T-bills,182,5400,12/10/2023,17/10/2023,16/04/2024,14725.3,N/A,2.73,3.87,98.070,3.66,98.175,3.37,98.320
BS23121E,SGXZ35614007,T-bills,182,5700,26/10/2023,31/10/2023,30/04/2024,11539.4,N/A,2.02,3.95,98.030,3.77,98.120,3.60,98.205
BS23122F,SGXZ66087859,T-bills,182,5700,08/11/2023,14/11/2023,14/05/2024,13162.3,N/A,2.31,3.75,98.130,3.65,98.180,2.71,98.649
BS23123Z,SGXZ41634486,T-bills,182,6000,23/11/2023,28/11/2023,28/05/2024,13011.6,N/A,2.17,3.80,98.105,3.63,98.190,2.90,98.554
BS23124S,SGXZ85619765,T-bills,182,5900,07/12/2023,12/12/2023,11/06/2024,13287.8,N/A,2.25,3.74,98.135,3.60,98.205,3.05,98.479
